accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
Q73RG3	DGCA_TREDE	2.7.7.65	371	Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)	PF00990	Diguanylate cyclase, GGDEF domain	PF00990
Q74120	POL_HV2KR	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.47	1463	Human immunodeficiency virus type 2 subtype A (isolate KR) (HIV-2)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q75002	POL_HV1ET	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1439	Human immunodeficiency virus type 1 group M subtype C (isolate ETH2220) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q75A34	RPB1_EREGS	2.7.7.6	1745	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998;PF04992;PF04990;PF05001
Q76634	POL_HV2UC	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.47	1471	Human immunodeficiency virus type 2 subtype B (isolate UC1) (HIV-2)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q766Z3	REV3_ARATH	2.7.7.7	1890	Arabidopsis thaliana (Mouse-ear cress)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104;PF24055;PF24065;PF14260
Q76L40	POL1_BBWVS	2.7.7.48; 3.4.22.-; 3.6.4.-	1842	Broad bean wilt virus 1 (strain Spinach/United States/ATCC PV-132/1963) (BBWV-1)	PF00680	Viral RNA-dependent RNA polymerase	PF00680;PF00910
Q77373	POL_HV1AN	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1435	Human immunodeficiency virus type 1 group O (isolate ANT70) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q775U0	MCEL_CAMPS	2.1.1.56; 2.7.7.50; 3.6.1.74	844	Camelpox virus (strain CMS)	PF03291	mRNA (guanine-N(7))-methyltransferase domain	PF21004;PF10640;PF03291;PF21005
Q79666	POL_HV1MV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1446	Human immunodeficiency virus type 1 group O (isolate MVP5180) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q7CPR9	HLDE_SALTY	2.7.1.167; 2.7.7.70	477	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	PF01467	Cytidylyltransferase-like	PF01467;PF00294
Q7DDR9	NMFIC_NEIMB	2.7.7.108	191	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	PF02661	Fic/DOC family	PF02661
Q7G065	GLGL2_ORYSJ	2.7.7.27	518	Oryza sativa subsp. japonica (Rice)	PF00483	Nucleotidyl transferase	PF25247;PF00483
Q7KVS9	TRF41_DROME	2.7.7.19	1001	Drosophila melanogaster (Fruit fly)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q7LHG5	YI31B_YEAST	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	1498	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF17921;PF12384;PF17919;PF00665;PF00078;PF24626;PF19259
Q7NBZ0	MNMA_MYCGA	2.7.1.26; 2.7.7.2; 2.8.1.13	657	Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2)) (Mycoplasma gallisepticum)	PF06574	FAD synthetase	PF06574;PF01687;PF03054;PF20258;PF20259
Q7SIB1	CCA_GEOSE	2.7.7.72	404	Geobacillus stearothermophilus (Bacillus stearothermophilus)	PF01743	Poly A polymerase head domain	PF01743;PF12627;PF13735
Q7SIG7	DPOL_DESST	2.7.7.7	773	Desulfurococcus sp. (strain Tok)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104
Q7SQ98	POL_ALV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1603	Avian leukosis virus (ALV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00607;PF00552;PF02022;PF02813;PF00075;PF00665;PF00077;PF00078;PF06817;PF00098
Q7SVK7	POL_MLVBM	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1734	Murine leukemia virus (strain BM5 eco)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF01140;PF01141;PF02093;PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF00098;PF16721
Q7T6D2	POLG_OHFV	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3414	Omsk hemorrhagic fever virus (OHFV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q7Z5Q5	DPOLN_HUMAN	2.7.7.7	900	Homo sapiens (Human)	PF00476	DNA polymerase family A	PF00476;PF18049
Q7Z7A3	CTU1_HUMAN	2.7.7.-	348	Homo sapiens (Human)	PF01171	PP-loop domain	PF01171;PF16503
Q805H4	REP_PCV1	2.7.7.-; 3.1.21.-; 3.6.1.-	312	Porcine circovirus 1 (PCV1)	PF00910	RNA helicase	PF00910;PF02407
Q80DX6	MCEL_CWPXG	2.1.1.56; 2.7.7.50; 3.6.1.74	844	Cowpox virus (strain GRI-90 / Grishak) (CPV)	PF03291	mRNA (guanine-N(7))-methyltransferase domain	PF21004;PF10640;PF03291;PF21005
Q80J95	POLG_MNV1	2.7.7.48; 3.4.22.66; 3.6.1.15	1687	Norovirus (isolate Mouse/NoV/United States/MNV1/2002/GV) (MNV-1) (Murine Norovirus 1)	PF00680	Viral RNA-dependent RNA polymerase	PF08405;PF05416;PF00680;PF00910
Q80KJ7	NS1AB_MASV1	2.7.7.48; 3.4.21.-	1381	Mink astrovirus 1 (MAstV-1)	PF00680	Viral RNA-dependent RNA polymerase	PF19415;PF00680;PF13365
Q811Q9	PCY1B_MOUSE	2.7.7.15	369	Mus musculus (Mouse)	PF01467	Cytidylyltransferase-like	PF01467
Q81258	POLG_HCVNZ	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3021	Hepatitis C virus genotype 3a (isolate NZL1) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q81487	POLG_HCVTR	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3023	Hepatitis C virus genotype 3b (isolate Tr-Kj) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q81495	POLG_HCVK3	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3021	Hepatitis C virus genotype 3a (isolate k3a) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q81754	POLG_HCVH9	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3011	Hepatitis C virus genotype 1c (isolate HC-G9) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
Q81862	POLN_HEVCH	2.1.1.-; 2.7.7.-; 2.7.7.48; 3.4.22.-; 3.6.4.-	1693	Hepatitis E virus genotype 1 (isolate Human/China/HeBei/1987) (HEV)	PF00978	RNA dependent RNA polymerase	PF12526;PF01661;PF05417;PF00978;PF01443;PF01660
Q82081	POLG_HRV3	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2178	Human rhinovirus 3 (HRV-3)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
Q82122	POLG_HRV16	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2153	Human rhinovirus 16 (HRV-16)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
Q82851	POL_JEMBR	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.-	1432	Jembrana disease virus (JDV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06817;PF00098
Q83017	RPOA_LDVP	2.7.7.48; 3.4.21.-; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	3616	Lactate dehydrogenase elevating virus (strain Plagemann) (LDV)	PF00680	Viral RNA-dependent RNA polymerase	PF16749;PF12581;PF05410;PF05411;PF05412;PF05579;PF22049;PF00680;PF01443;PF21905
Q83034	POLG_RTSVA	2.7.7.48; 3.4.22.-; 3.6.4.-	3473	Rice tungro spherical virus (strain A) (RTSV) (Rice tungro spherical waikavirus)	PF00680	Viral RNA-dependent RNA polymerase	PF12381;PF00680;PF00073;PF00910;PF12264
Q83045	R1AB_LIYV9	2.1.1.-; 2.7.7.48; 3.4.22.-; 3.6.4.13	2379	Lettuce infectious yellows virus (isolate United States/92) (LIYV)	PF00978	RNA dependent RNA polymerase	PF00978;PF01443;PF01660
Q83883	POLG_NVN68	2.7.7.48; 3.4.22.66; 3.6.1.15	1789	Norovirus (strain Human/NoV/United States/Norwalk/1968/GI) (Hu/NV/NV/1968/US)	PF00680	Viral RNA-dependent RNA polymerase	PF08405;PF05416;PF00680;PF00910
Q84133	RDRP_ORSVS	2.1.1.-; 2.7.7.-; 2.7.7.48; 3.6.4.13	1612	Odontoglossum ringspot virus (isolate Singapore 1) (ORSV)	PF00978	RNA dependent RNA polymerase	PF00978;PF20896;PF01443;PF01660
Q84934	POLG_PPVSK	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3140	Plum pox potyvirus (strain SK 68) (PPV)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
Q84ND9	POLIB_ARATH	2.7.7.7	1034	Arabidopsis thaliana (Mouse-ear cress)	PF00476	DNA polymerase family A	PF00476;PF01612
Q84VV6	HINT4_ARATH	2.7.7.5; 3.6.2.1	146	Arabidopsis thaliana (Mouse-ear cress)	PF11969	?	PF11969
Q85197	POLG_PVMA	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3059	Potato virus A (PVA)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
Q85431	L_RSVT	2.7.7.48; 3.1.-.-	2919	Rice stripe virus (isolate T) (RSV)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF12603;PF15518
Q86117	POLG_RHDVS	2.7.7.48; 3.4.22.66; 3.6.1.15	2344	Rabbit hemorrhagic disease virus (strain SD) (Ra/LV/RHDV/SD/1989/FR) (RHDV-SD)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q86119	POLG_RHDVA	2.7.7.48; 3.4.22.66; 3.6.1.15	2344	Rabbit hemorrhagic disease virus (strain AST89) (Ra/LV/RHDV/AST89/1989/SP) (RHDV-AST89)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q86500	POLN_RUBVM	2.7.7.48; 3.4.22.-; 3.6.1.15; 3.6.4.13	2116	Rubella virus (strain M33) (RUBV)	PF00978	RNA dependent RNA polymerase	PF01661;PF05407;PF00978;PF12601;PF01443
Q86887	POLG_CXB4E	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2183	Coxsackievirus B4 (strain E2) (CVB4)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
Q86924	POLN_AURAV	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2499	Aura virus (AURAV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q86MV5	TUT2_TRYBB	2.7.7.52	487	Trypanosoma brucei brucei	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828;PF18528
Q86U90	YRDC_HUMAN	2.7.7.87	279	Homo sapiens (Human)	PF01300	Telomere recombination	PF01300
Q87040	POL_SFVCP	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1146	Simian foamy virus (isolate chimpanzee) (SFVcpz)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF17921;PF00075;PF17919;PF00665;PF00078;PF18103;PF03539
Q87P32	VOPS_VIBPA	2.7.7.108	387	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	PF02661	Fic/DOC family	PF02661;PF20793
Q88434	L_PIV5	2.7.7.48; 2.7.7.88; 3.6.1.-	2255	Parainfluenza virus 5 (strain W3) (PIV5) (Simian virus 5)	PF14318	Mononegavirales mRNA-capping region V	PF14318;PF00946
Q88920	RDRP_TVCV	2.1.1.-; 2.7.7.-; 2.7.7.48; 3.6.4.13	1601	Turnip vein-clearing virus (TVCV)	PF00978	RNA dependent RNA polymerase	PF00978;PF20896;PF01443;PF01660
Q88QT2	MURU_PSEPK	2.7.7.99	223	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	PF00483	Nucleotidyl transferase	PF00483
Q89273	POLG_RHDVB	2.7.7.48; 3.4.22.66; 3.6.1.15	2344	Rabbit hemorrhagic disease virus (strain BS89) (Ra/LV/RHDV/BS89/1989/IT) (RHDV-BS89)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q89277	POLG_YEFVF	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3411	Yellow fever virus (strain French neurotropic vaccine FNV) (YFV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
Q89330	POLG_ZYMVR	2.7.7.48; 3.4.-.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3083	Zucchini yellow mosaic virus (strain Reunion Island) (ZYMV)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
Q89709	L_SINV	2.7.7.48; 3.1.-.-	2153	Sin Nombre orthohantavirus (SNV) (Sin Nombre virus)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF21991;PF12426
Q89928	POL_HV2EH	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.47	1464	Human immunodeficiency virus type 2 subtype B (isolate EHO) (HIV-2)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q89Y83	CDNG_BRADU	2.7.7.85	416	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	PF18144	Second Messenger Oligonucleotide or Dinucleotide Synthetase domain	PF18144
Q8AII1	POL_SIVTN	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1462	Simian immunodeficiency virus (isolate TAN1) (SIV-cpz) (Chimpanzee immunodeficiency virus)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
Q8AWD2	MOCS3_DANRE	2.7.7.80; 2.8.1.11	459	Danio rerio (Zebrafish) (Brachydanio rerio)	PF00899	ThiF family	PF00581;PF00899
Q8B0H0	L_VSIVC	2.7.7.48; 2.7.7.88; 3.6.1.-	2109	Vesicular stomatitis Indiana virus (strain 94GUB Central America) (VSIV)	PF14318	Mononegavirales mRNA-capping region V	PF21080;PF14314;PF21081;PF14318;PF00946
Q8B0H5	L_VSIVS	2.7.7.48; 2.7.7.88; 3.6.1.-	2109	Vesicular stomatitis Indiana virus (strain 85CLB South America) (VSIV)	PF14318	Mononegavirales mRNA-capping region V	PF21080;PF14314;PF21081;PF14318;PF00946
Q8B0I0	L_VSIVN	2.7.7.48; 2.7.7.88; 3.6.1.-	2109	Vesicular stomatitis Indiana virus (strain 98COE North America) (VSIV)	PF14318	Mononegavirales mRNA-capping region V	PF21080;PF14314;PF21081;PF14318;PF00946
Q8B3M2	POLG_DWV	2.7.7.48; 3.4.22.-; 3.6.4.13	2893	Deformed wing virus (DWV)	PF00680	Viral RNA-dependent RNA polymerase	PF08762;PF00680;PF00073;PF00910
Q8B6J5	L_RABVH	2.7.7.48; 2.7.7.88; 3.6.1.-	2127	Rabies virus (strain HEP-Flury) (RABV)	PF14318	Mononegavirales mRNA-capping region V	PF21080;PF14314;PF21081;PF14318;PF00946
Q8B912	RPOA_PRRSB	2.7.7.48; 3.4.19.12; 3.4.21.-; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	3961	Porcine reproductive and respiratory syndrome virus (strain HB-1) (PRRSV)	PF00680	Viral RNA-dependent RNA polymerase	PF16749;PF19215;PF14757;PF14756;PF05410;PF05411;PF05412;PF05579;PF22049;PF00680;PF01443;PF21905
Q8BB16	REP_PCV2	2.7.7.-; 3.1.21.-; 3.6.1.-	314	Porcine circovirus 2 (PCV2)	PF00910	RNA helicase	PF00910;PF02407
Q8BCR0	POLN_RUBVN	2.7.7.48; 3.4.22.-; 3.6.1.15; 3.6.4.13	2116	Rubella virus (strain RN-UK86) (RUBV)	PF00978	RNA dependent RNA polymerase	PF01661;PF05407;PF00978;PF12601;PF01443
Q8BIX9	FICD_MOUSE	2.7.7.108; 3.1.4.-	458	Mus musculus (Mouse)	PF02661	Fic/DOC family	PF02661
Q8BNJ3	NMNA2_MOUSE	2.7.7.1; 2.7.7.18	307	Mus musculus (Mouse)	PF01467	Cytidylyltransferase-like	PF01467
Q8BUV3	GEPH_MOUSE	2.10.1.1; 2.7.7.75	769	Mus musculus (Mouse)	PF00994	Probable molybdopterin binding domain	PF00994;PF03454;PF03453
Q8C6L5	CGAS_MOUSE	2.7.7.86	507	Mus musculus (Mouse)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
Q8CFI7	RPB2_MOUSE	2.7.7.48; 2.7.7.6; 3.1.13.-	1174	Mus musculus (Mouse)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560
Q8CGS6	DPOLQ_MOUSE	2.7.7.49; 2.7.7.7; 3.6.4.12	2544	Mus musculus (Mouse)	PF00476	DNA polymerase family A	PF00270;PF00476;PF00271;PF20470;PF21099
Q8DLT5	GLMU_THEVB	2.3.1.157; 2.7.7.23	449	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	PF12804	MobA-like NTP transferase domain	PF25087;PF00132;PF12804
Q8DPI6	LICC_STRR6	2.7.7.15	229	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	PF00483	Nucleotidyl transferase	PF00483
Q8E9K5	SOFIC_SHEON	2.7.7.108	372	Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1)	PF02661	Fic/DOC family	PF02661;PF13784;PF21248
Q8ECH7	MNTA_SHEON	2.7.7.108	139	Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1)	PF18765	?	PF18765
Q8GZQ3	PNP1_ARATH	2.7.7.8	922	Arabidopsis thaliana (Mouse-ear cress)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF01138;PF03725;PF00575
Q8H2D5	POLH_ARATH	2.7.7.7	672	Arabidopsis thaliana (Mouse-ear cress)	PF00817	impB/mucB/samB family	PF00817;PF11799;PF21704
Q8ILY1	PREX_PLAF7	2.7.7.102; 2.7.7.7; 3.1.11.-; 5.6.2.3	2016	Plasmodium falciparum (isolate 3D7)	PF00476	DNA polymerase family A	PF13481;PF00476;PF01612
Q8IWT0	ARCH_HUMAN	2.7.7.-	167	Homo sapiens (Human)	PF01951	?	PF01951
Q8IYB1	M21D2_HUMAN	2.7.7.-	491	Homo sapiens (Human)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
Q8JJX1	POLN_SAV1	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2601	Alphavirus salmon subtype 1 (SAV1) (Salmon pancreas disease virus subtype 1)	PF00978	RNA dependent RNA polymerase	PF01728;PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q8JN60	POLG_BECNB	2.7.7.48; 3.4.22.66; 3.6.1.15	2210	Bovine enteric calicivirus NB (isolate Bovine/United States/N ebraska/1980) (BEC-NB)	PF00680	Viral RNA-dependent RNA polymerase	PF00915;PF03510;PF00680;PF00910;PF20915
Q8JPR2	L_BUNL8	2.7.7.48; 3.1.-.-	2263	Bunyavirus La Crosse (isolate Human/United States/L78/1978)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF15518;PF21561
Q8JPX5	L_EBORR	2.7.7.48; 2.7.7.88; 3.6.1.-	2212	Reston ebolavirus (strain Reston-89) (REBOV) (Reston Ebola virus)	PF14318	Mononegavirales mRNA-capping region V	PF14318;PF00946
Q8JUX6	POLN_CHIKS	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2474	Chikungunya virus (strain S27-African prototype) (CHIKV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q8JV21	POLG_LJUV1	2.7.7.48; 3.4.22.28; 3.6.1.15	2253	Ljunganvirus 1 (LV) (Ljungan virus 1)	PF00680	Viral RNA-dependent RNA polymerase	PF00548;PF06363;PF00680;PF00073;PF00910
Q8K1J6	TRNT1_MOUSE	2.7.7.72	434	Mus musculus (Mouse)	PF01743	Poly A polymerase head domain	PF01743;PF12627
Q8K1R3	PNPT1_MOUSE	2.7.7.8	783	Mus musculus (Mouse)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q8K409	DPOLB_MOUSE	2.7.7.7; 4.2.99.-; 4.2.99.18	335	Mus musculus (Mouse)	PF14791	DNA polymerase beta thumb	PF14792;PF14791;PF10391;PF14716
Q8MIR4	COASY_PIG	2.7.1.24; 2.7.7.3	562	Sus scrofa (Pig)	PF01467	Cytidylyltransferase-like	PF01121;PF01467
Q8N884	CGAS_HUMAN	2.7.7.86	522	Homo sapiens (Human)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
Q8NDF8	PAPD5_HUMAN	2.7.7.-; 2.7.7.19	572	Homo sapiens (Human)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
Q8NEK8	TET5D_HUMAN	2.7.7.19	389	Homo sapiens (Human)	PF07984	Nucleotidyltransferase	PF07984
Q8NFF5	FAD1_HUMAN	2.7.7.2; 3.6.1.18; 3.6.1.22	587	Homo sapiens (Human)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF24102;PF00994;PF01507
Q8NFW8	NEUA_HUMAN	2.7.7.43	434	Homo sapiens (Human)	PF02348	Cytidylyltransferase	PF02348
Q8QL53	POLN_SAV2	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2593	Alphavirus salmon subtype 2 (SAV2) (Sleeping disease virus)	PF00978	RNA dependent RNA polymerase	PF01728;PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q8QMV9	MCEL_CWPXB	2.1.1.56; 2.7.7.50; 3.6.1.74	844	Cowpox virus (strain Brighton Red) (CPV)	PF03291	mRNA (guanine-N(7))-methyltransferase domain	PF21004;PF10640;PF03291;PF21005
Q8QZ73	POLN_MAYAB	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2437	Mayaro virus (strain Brazil) (MAYV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
Q8R123	FAD1_MOUSE	2.7.7.2; 3.6.1.18; 3.6.1.22	492	Mus musculus (Mouse)	PF01507	Phosphoadenosine phosphosulfate reductase domain	PF24102;PF00994;PF01507
Q8R3F9	STPAP_MOUSE	2.7.7.19; 2.7.7.52	869	Mus musculus (Mouse)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828;PF00076;PF12874
Q8RWE8	GGAP1_ARATH	2.7.7.69	442	Arabidopsis thaliana (Mouse-ear cress)	PF26216	GDPGP1-like, C-terminal domain	PF26216;PF26217
Q8SWV6	FICD_DROME	2.7.7.108; 3.1.4.-	492	Drosophila melanogaster (Fruit fly)	PF02661	Fic/DOC family	PF02661
Q8TCS8	PNPT1_HUMAN	2.7.7.8	783	Homo sapiens (Human)	PF01138	3' exoribonuclease family, domain 1	PF00013;PF03726;PF01138;PF03725;PF00575
Q8V0N6	POLG_HAV88	2.7.7.48; 3.4.22.28; 3.6.1.15	2227	Human hepatitis A virus genotype IIB (isolate SLF88) (HHAV) (Human hepatitis A virus (isolate Human/Sierra Leone/SLF88/1988))	PF00680	Viral RNA-dependent RNA polymerase	PF20758;PF12944;PF00680;PF00073;PF00910
